,Word,Definition
832,diuturnus ,"['lasting', 'a', 'long', 'time,', 'of', 'long', 'duration']"
833,diversus ,"['different,', 'unlike,', 'opposed,', 'hostile']"
834,dives ,"['rich,', 'opulent,', 'wealthy']"
835,divinitus ,"['divine', 'influence,', 'admirably,', 'nobly,', 'by', 'inspiration']"
836,divinus ,"['divine,', 'sacred']"
837,divitiae  divitie ,"['riches,', 'wealth']"
838,do  dare  dedi datum ,"['to', 'give,', 'offer,', 'convey,', 'offer,', 'donate,', 'furnish']"
839,doceo docui doctum ,"['to', 'instruct,', 'teach,', 'tutor']"
840,doctor ,['teacher']
841,doctrina ,"['doctrine,', 'teaching,', 'instruction,', 'learning']"
842,doctus ,"['taught,', 'instructed,', 'learned,', 'tutored']"
843,dolens ,['painfully']
844,doleo ,"['to', 'suffer', 'pain,', 'to', 'be', 'pained,', 'grieve']"
845,dolor ,"['pain,', 'grief', 'misery,', 'pain,', 'suffering']"
846,dolose ,"['slyly,', 'deceitfully']"
847,dolosus ,"['crafty,', 'cunning,', 'sly,', 'deceitful']"
848,dolus ,"['fraud,', 'deceit,', 'guile,', 'treachery,', 'a', 'trap']"
849,domesticus ,"['domestic,', 'civil']"
850,domina  domina ,"['lady,', 'mistress']"
851,dominatus ,"['rule,', 'mastery,', 'tyranny,', 'domination']"
852,dominus  domino ,"['master,', 'lord']"
853,domito ,"['to', 'tame,', 'subdue,', 'break', 'in']"
854,domus ,"['house,', 'home,', 'residence']"
855,donec ,"['up', 'to', 'the', 'time', 'when,', 'until,', 'as', 'long', 'as,', 'while']"
856,donum ,"['gift,', 'present,', 'donation']"
857,dormio ,"['to', 'sleep,', 'slumber,', 'siesta,', 'nap']"
858,dubito ,"['to', 'doubt,', 'hesitate']"
859,dubium ,"['doubt,', 'hesitation,', 'reservation']"
860,duco ,"['to', 'lead', 'on', 'the', 'march,', 'marry', 'a', 'wife,', 'command']"
861,duco ,"['to', 'lead,', 'draw,', 'esteem,', 'consider']"
862,duco ,"['to', 'draw,', 'shape,', 'construct', '/', '(time)', 'spend,', 'delay']"
863,duco ,"['to', 'charm,', 'influence,', 'mislead,', 'draw', 'in']"
864,duco ,"['to', 'calculate,', 'count,', 'reckon,', 'esteem,', 'considered']"
865,dudum ,"['for', 'a', 'long', 'while,', 'a', 'long', 'while', 'ago,', 'some', 'time', 'age']"
866,dulcedo ,"['sweetness,', 'pleasantness,', 'charm']"
867,dulcidine ,"['sweetly,', 'pleasantly,', 'charmingly']"
868,dulcis ,"['sweet,', 'pleasant,', 'agreeable']"
869,dulcitudo  dulcitudinis ,"['um', ':', 'while,', 'as', 'long', 'as,', 'until']"
870,dummodo ,"['(conj', '+', 'subj)', 'provided']"
871,dumtaxat ,"['at', 'least,', 'not', 'less', 'than', '/', 'at', 'most,', 'not', 'more', 'than']"
872,duo ,['two']
873,duro: ,"['to', 'harden,', 'last,', 'endure']"
874,durus ,"['hard,', 'harsh,', 'tough,', 'strong,enduring,', '/', 'rough,', 'rude,', 'uncouth']"
875,Dusiol petram ,['Duissenpierre']
876,dux ducis ,"['leader,', 'guide,', 'commander,', 'general,', 'duke']"
877,ebullio ,"['to', 'boil', 'up,', 'bubble', 'up,', 'to', 'appear,', 'produce', 'in', 'abundance']"
878,ecclesia ,['church']
879,econtra the same as contra: ,"['against,', 'opposite,', 'etc']"
880,ecquando ,"['at', 'any', 'time?', 'ever?']"
881,edico ,"['to', 'announce,', 'declare']"
882,editio ,"['the', 'publishing', 'of', 'a', 'book,', 'an', 'announcement']"
883,edo ,"['put', 'forth,', 'give', 'out']"
884,edo edi essum ,"['to', 'eat,', 'consume,', 'devour,', 'waste']"
885,edoceo ,"['to', 'inform', 'fully,', 'instruct', 'thoroughly']"
886,educo ,"['to', 'draw', 'out,', 'lead', 'out,', 'march', 'out', '/', 'bring', 'up,', 'rear', '/', 'sue']"
887,effectus ,"['doing,', 'execution,', 'performance,', 'effect,', 'result']"
888,effero  extuli  elatum ,"['to', 'carry', 'out,', 'bury,', 'lift', 'up,', 'exalt']"
889,effervo ,"['to', 'boil', 'up']"
890,efficio ,"['to', 'do,', 'produce,', 'effect,', 'make', '/', 'bring', 'about,', 'cause', '/', 'prove']"
891,effringo effrego ,"['break,', 'break', 'open']"
892,effugio (effugi  effugiturus ) ,"['flee', 'from,', 'escape,', 'elude,', 'run', 'away']"
893,effundo ,"['to', 'pour', 'out,', 'pour', 'forth,', 'shed,', 'utter']"
894,egenus ,"['in', 'want', 'of,', 'in', 'need', 'of,', 'destitute']"
895,egeo ,"['to', 'need,', 'lack,', 'want,', 'be', 'without']"
896,ego ,"['I', ';', 'I', ""can't"", 'live', 'without', 'you,', 'baby']"
897,egredior (egressus ) ,"['to', 'go', 'out,', 'leave,', 'depart,', 'exit']"
898,eicio  eiectum ,"['to', 'throw', 'out,', 'eject,', 'drive', 'out']"
899,elatus ,"['puff-up,', 'proud', 'of', 'oneself,', 'arrogant']"
900,electus ,"['chosen,', 'select']"
901,elementum ,"['first', 'principle,', 'element,', 'basic', 'constituent']"
902,elemosina ,['alms']
903,elemosinarius ,"['almoner,', 'person', 'in', 'charge', 'of', 'providing', 'charity']"
904,eligo ,"['to', 'pick', 'out,', 'select,', 'choose']"
905,eloquens ,"['eloquent,', 'persuasive,', 'fluent']"
906,eloquentia ,"['eloquence,', 'readiness', 'of', 'speech,', 'fluency,', 'persuasiveness']"
907,eluo ,"['to', 'wash', 'out,', 'rinse', 'cleanse', '/', 'squander,', 'waste']"
908,eluvies ,"['a', 'flowing', 'over,', 'flood,', 'innundation']"
909,eluvio ,['inundation']
910,emanio ,"['to', 'flow', 'out,', 'spread', '/', 'arise,', 'emanate,', 'originate']"
911,emendo ,"['to', 'amend,', 'correct']"
912,emercor ,"['to', 'buy', 'up']"
913,emerio ,"['to', 'obtain', 'by', 'service,', 'earn', 'completely,', 'deserve', 'well']"
914,emineo ,"['to', 'stand', 'out,', 'project,', 'be', 'remarkable,', 'conspicuous']"
915,eminor ,"['to', 'threaten,', 'menace']"
916,eminus ,"['at', 'a', 'distance,', 'from', 'a', 'distance']"
917,emiror ,"['to', 'wonder', 'at', 'exceedingly']"
918,emo  emi  emptum ,"['to', 'buy,', 'purchase']"
919,emoveo ,"['to', 'move', 'away,', 'remove,', 'take', 'away']"
920,emptio ,"['a', 'buying,', 'a', 'purchase']"
921,enim ,"['for,', 'in', 'fact,', 'truly', '(may', 'often', 'be', 'omitted)']"
922,enumero ,"['to', 'count,', 'count', 'up,', 'enumerate']"
923,eo ire itum ,"['to', 'go,', 'advance,', 'proceed,', 'travel,', 'move', 'along,', 'progress']"
924,episcopalis ,['episcopal']
925,episcopus ,['bishop']
926,epistula ,"['letter,', 'epistle,', 'missive,', 'message']"
927,epulo ,"['sumptuous', 'food,', 'banquet,', 'feast']"
928,epulor ,"['to', 'feast,', 'feast', 'on']"
929,eques  equitis ,"['horseman,', 'cavalry', 'man', 'rider', '(classical)']"
930,equidem ,"['(adv)', 'indeed,', 'truly,', 'for', 'my', 'part']"
931,equitatus ,"['cavalry,', 'horsemen', '(classical)']"
932,equus ,"['horse,', 'steed,', 'mount']"
933,erepo ,"['to', 'creep', 'out,', 'creep', 'over,', 'creep', 'up']"
934,erga ,"['(+', 'acc)', 'toward,', 'about']"
935,ergo ,"['(gen', '+)', 'on', 'account', 'of,', 'because', 'of']"
936,ergo ,"['(adv)', 'accordingly,', 'then,', 'therefore']"
937,eripio (eripui ereptum ) ,"['to', 'snatch', 'away,', 'take', 'away,', 'rescue']"
938,erogo ,"['to', 'pay', 'out']"
939,erogo ,"['to', 'pay', 'out,', 'expend,', 'disburse']"
940,erro ,"['to', 'wander,', 'stray,', 'rove', '/', 'be', 'mistaken,', 'err,', 'go', 'astray']"
941,error ,"['error,', 'mistake,', 'going', 'astray']"
942,erubesco ,"['to', 'blush,', 'grow', 'red,', 'be', 'ashamed']"
943,erubesco ,"['(+', 'inf)', 'to', 'blush', 'to,', '(+acc)', 'blush', 'for,', 'respect']"
944,erudio ,"['to', 'instruct,', 'teach,', 'educate']"
945,eruo ,"['to', 'dig', 'up,', 'pull', 'out', '/', 'raze,', 'demolish']"
946,esurio ,"['to', 'be', 'hungry,', 'to', 'hunger']"
947,et ... et ,"['both', 'and']"
948,etenim ,"['for', 'indeed']"
949,etiam ,"['(adv)', 'even,', 'also']"
950,etsi ,"['(acsi)', 'even', 'if,', 'although']"
951,evenio ,"['to', 'come', 'to', 'pass,', 'happen,', 'befall']"
952,eventus ,"['consequence,', 'issue,', 'result,', 'occurrence,', 'experience']"
953,everto ,"['to', 'turn', 'out,', 'eject,', 'dislodge,', 'overturn', '/', 'destroy,', 'ruin']"
954,evito ,"['to', 'shun,', 'avoid;', 'also,', 'to', 'kill']"
955,evoco ,"['to', 'draw', 'out,', 'draw', 'on,', 'produce,', 'recall', 'to', 'the', 'colors']"
956,ex (= e ) ,"['(prep', '+', 'abl)', 'out', 'of,', 'from', 'within,', 'from', '/', 'on', 'account', 'of']"
957,exaequo exequo ,"['to', 'be', 'like,', 'equal', '/', 'make', 'level', 'or', 'even,', 'relate']"
958,excedo ,"['(trans)', 'to', 'exceed,', 'leave,', 'pass', 'beyond']"
959,excellentia ,"['excellence,', 'merit,', 'worth']"
960,excessum ,"['departure,', 'death,', 'digression']"
961,excipio (excepi exceptum ) ,"['to', 'take', 'out,', 'except', '/', 'take,', 'capture']"
962,excito ,"['call', 'forth,', 'bring', 'about,', 'wake,', 'raise', 'up']"
963,exclamo ,"['to', 'shout,', 'cry', 'aloud,', 'exclaim,', 'call', 'someone', 'by', 'name']"
964,excludo ,"['to', 'shut', 'out,', 'exclude']"
965,excolo ,"['to', 'honor', '(a', 'deity),', 'polish,', 'adorn,', 'refine,', 'serve']"
966,excrucio ,"['to', 'torment,', 'torture,', 'cause', 'great', 'pain']"
967,excusatio ,['excuse']
968,excuso ,"['to', 'exempt', 'from', 'blame,', 'excuse,', 'make', 'excuses,', 'plead']"
969,exemplar ,"['model,', 'pattern,', 'original,', 'prototype,', 'book', 'to', 'copy']"
970,exemplum ,"['pattern,', 'model,', 'example']"
971,exerceo ,"['to', 'train,', 'cultivate,', 'keep', 'at', 'work,', 'exercise,', 'practice']"
972,exercitus ,['army']
973,exertus ,"['tested,', 'tried,', 'approved,', 'experienced']"
974,exesto ,"['extra', 'esto']"
975,exheredo ,"['to', 'disinherit']"
976,exheres ,['disinherited']
977,exhibeo exibeo ,"['to', 'produce,', 'show,', 'display,', 'offer,', 'allow,', 'cause']"
978,exhibeo ,"['to', 'show,', 'present,', 'allow,', 'display,', 'present,', 'offer']"
979,exhilaro ,"['to', 'make', 'cheerful']"
980,exhorresco ,"['to', 'be', 'horrified,', 'to', 'shake,', 'shudder', '/', 'dread,', 'tremble', 'at']"
981,exigo ,"['drive', 'out,', 'force', 'out,', 'exact,', 'demand,', 'sell']"
982,exigo ,"['complete,', 'finish,', 'determine,', 'decide,', 'settle']"
983,exilis ,"['thin,', 'slender,', 'meager']"
984,eximietate ,"['uncommonness,', 'excellence']"
985,eximius ,"['extraordinary,', 'excellent,', 'fine,', 'superb']"
986,eximo ,"['to', 'free,', 'release,', 'take', 'out,', 'remove,', 'waste']"
987,exinde ,"['thence,', 'next', '/', 'thereupon,', 'after', 'that,', 'then', '/', 'accordingly']"
988,exitiabilis  exitialis  exitosus ,"['fatal', 'deadly,', 'destructive,', 'lethal']"
989,exitium ,"['destruction,', 'ruin']"
990,exitus ,"['going', 'out,', 'going', 'forth,', 'exit,', 'end,', 'finish']"
991,exordium ,"['the', 'beginning', '(especially', 'of', 'a', 'speech)']"
992,exorior ,"['to', 'rise,', 'spring', 'up,', 'issue,', 'appear,', 'come', 'forward']"
993,exoro ,"['to', 'prevail', 'upon', 'a', 'person,', 'entreat', 'successfully']"
994,exorsus ,['begun']
995,expedio ,"['to', 'release,', 'set', 'free,', 'clear,', 'set', 'straight']"
996,expedio ,"['to', 'free', 'from', 'a', 'snare,', 'disentangle,', 'set', 'free,', 'ready']"
997,expello (expuli expulsum ) ,"['to', 'drive', 'out,', 'expel,', 'force', 'out,', 'banish']"
998,"experior (experiri, expertus ) ","['to', 'try,', 'test,', 'experience,', 'prove']"
999,expers ,"['wanting,', 'destitute', 'of,', 'not', 'sharing', 'in']"
1000,expetens ,"['desirous,', 'eager']"
1001,expeto ,"['to', 'fall', 'upon']"
1002,expeto ,"['to', 'demand,', 'require', '/', 'desire,', 'strive', 'after,', 'make', 'for']"
1003,expilatio ,"['plundering,', 'taking', 'booty']"
1004,expiscor ,"['to', 'fish', 'out,', 'find', 'out,', 'discover']"
1005,expleo ,"['to', 'make', 'losses', 'good', '/', 'fulfil,', 'discharge', '(duties)']"
1006,expleo explevi expletum ,"['to', 'fill,', 'fill', 'up,', 'complete,', 'finish']"
1007,expletio ,['satisfying']
1008,expletus ,"['(part)', 'perfect,', 'complete']"
1009,explicatus: ,"['explanation,', 'exposition']"
1010,explico ,"['to', 'unfold,', 'unroll,', 'disentangle', '/', 'explain,', 'expound']"
1011,expono (exposui expositum ) ,"['to', 'set', 'forth,', 'explain,', 'expose']"
1012,expositus ,"['open,', 'accessible,', 'exposed']"
1013,expostulo ,"['to', 'demand', 'earnestly', '/', 'to', 'make', 'a', 'claim']"
1014,expugno ,"['to', 'capture,', 'overcome,', 'subdue,', 'take', 'by', 'storm,', 'gain']"
1015,exquisitus ,"['sought', 'after,', 'exquisite,', 'excellent,', 'fine,', 'delicate']"
1016,exsequor exequor ,"['to', 'follow', 'to', 'the', 'grave,', 'follow', 'to', 'the', 'end']"
1017,exsequor ,"['to', 'maintain,', 'keep', 'up,', 'carry', 'out,', 'fulfill,', 'accomplish']"
1018,exsequor ,"['to', 'execute,', 'avenge,', 'punish', '/', 'relate,', 'describe,', 'explain']"
1019,exsertus exertus ,"['project,', 'thrust', 'forward']"
1020,exsilium ,"['exile,', 'banishment']"
1021,exspecto ,"['to', 'look', 'for,', 'expect,', 'await,', 'wait', 'for']"
1022,"exstinguo, exstingui, exstinctum ","['to', 'extinguish,', 'put', 'out']"
1023,exsto ,"['to', 'stand', 'out,', 'be', 'extant,', 'appear,', 'project,', 'show', 'itself']"
1024,externus ,"['outer,', 'foreign,', 'outside,', 'external']"
1025,extollo ,"['to', 'praise', 'exaggerate', '/', 'decorate,', 'adorn']"
1026,extollo ,"['to', 'lift', 'up,', 'raise', 'up,', 'erect', '/', 'elevate,', 'exalt']"
1027,extorqueo ,"['to', 'twist,', 'wrench,', 'dislocate', '/', 'extort', 'by', 'force']"
1028,extra ,"['(prep', '+', 'acc)', 'beyond,', 'outside']"
1029,extremus ,"['outermost,', 'last,', 'extreme']"
1030,exturbo ,"['to', 'drive', 'away,', 'thrust', 'out']"
1031,exulto ,"['to', 'exult,', 'be', 'joyful']"
1032,"exuro, exussum ","['burn', 'down,', 'burn,', 'set', 'on', 'fire']"
1033,exustio ,"['burning', 'up,', 'conflagration']"
1034,facile ,['easily']
1035,facilis ,"['easy,', 'agreeable,', 'affable,', 'pleasant']"
1036,facillimus ,"['easiest,', 'most', 'agreeable,', 'pleasantest']"
1037,facina -oris ,"['bad', 'deed,', 'crime,', 'villainy', '/', 'deed,', 'action']"
1038,facio ,"['to', 'sacrifice,', 'suit,', 'help,', 'be', 'of', 'service']"
1039,facio ,"['to', 'give', 'permission', '/', 'to', 'experience,', 'suffer', '(troubles)']"
1040,facio ,"['(trans)', 'to', 'make,', 'do,', 'act,', 'perform,', 'cause,', 'bring', 'about']"
1041,factum ,"['deed,', 'accomplishment,', 'work,', 'act,', 'achievement']"
1042,facultas ,"['power,', 'means,', 'opportunity,', 'capacity,', 'ability,', 'stock']"
1043,facunditas ,"['fertility,', 'quickness', 'or', 'readiness', 'of', 'speech']"
1044,faenum fenum ,['hay']
1045,falsus ,"['false,', 'deceptive']"
1046,fama ,"['talk,', 'report,', 'rumor,', 'tradition']"
1047,familia ,"['family,', 'household']"
1048,familiaris ,"['belonging', 'to', 'a', 'household', '/', 'friendly,', 'intimate']"
1049,famulatus ,"['servitude,', 'slavery,', 'service']"
1050,famulus ,['servant']
1051,fas est: ,"['it', 'is', 'right,', 'it', 'is', 'fitting,', 'it', 'is', 'lawful']"
1052,fas ,"['divine', 'law', 'or', 'command', '/', 'fate,', 'destiny', '/', 'lawful,', 'allowed']"
1053,fateor ,"['to', 'confess,', 'admit,', 'allow,', 'reveal,', 'make', 'known']"
1054,fatigo ,"['worry,', 'fatigue,', 'vex,', 'harass,', 'tease']"
1055,fatum ,"['fate,', 'destiny,', 'doom,', 'lot,', 'weird']"
1056,fautor ,"['favorer,', 'promoter,', 'patron,', 'partisan,', 'supporter']"
1057,faveo ,"['(+', 'inf)', 'To', 'be', 'inclined', 'to', 'do']"
1058,faveo ,"['(+', 'dat)', 'be', 'favorable', 'to,', 'aid,', 'support,', 'help']"
1059,feculentia ,"['dregs,', 'lees,', 'impurities,', 'filth']"
1060,fefello ,"['to', 'be', 'failed', 'by,', 'disappointed', 'by', 'something', 'Herimann,', 'p', '278']"
1061,feliciter ,['happily']
1062,felix  felicis ,"['lucky,', 'fortunate,', 'happy']"
1063,femina ,['woman']
1064,fenestra ,['window']
1065,fere ,"['almost,', 'nearly,', 'not', 'quite,', 'generally']"
1066,feretrum ,"['bier,', 'litter']"
1067,feritas ,"['wildness,', 'savageness']"
1068,"ferme, fere ","['almost,', 'about']"
1069,fero  tuli  latum ,"['to', 'carry,', 'bring,', 'tell,', 'relate,', 'and', 'much', 'else']"
1070,ferrum ,"['iron,', 'sword']"
1071,ferus ,"['fierce,', 'wild,', 'savage,', 'untamed']"
1072,festinatio ,"['speed,', 'haste']"
1073,festino ,"['to', 'hasten,', 'hurry,', 'speed']"
1074,festinus ,"['hastening,', 'hasty']"
1075,feteo ,"['to', 'have', 'a', 'bad', 'odor,', 'stink']"
1076,ficus ,"['fig', 'tree']"
1077,fidelis ,"['faithful,', 'loyal,', 'true']"
1078,fidelitas ,"['fidelity,', 'loyalty,', 'homage']"
1079,fidens ,"['confident,', 'without', 'fear,', 'courageous']"
1080,fides ,"['trust,', 'confidence,', 'reliance,', 'belief,', 'faith']"
1081,fides ,"['promise,', 'assurance,', 'word', 'of', 'honor,', 'engagement']"
1082,fiducia ,"['confidence,', 'trust,', 'assurance']"
1083,filia ,['daughter']
1084,filius ,['son']
1085,fimus ,"['dung,', 'dirt,', 'filth,', 'manure']"
1086,fines finium ,"['boundaries,', 'limits,', '/', 'territory']"
1087,finis ,"['end,', 'limit,', 'boundary,', 'purpose']"
1088,finitimus finitumus ,"['neighboring,', 'adjacent,', 'related', 'to,', 'similar']"
1089,"fio, fieri, factus ","['be', 'made,', 'be', 'done,', 'become']"
1090,firmo ,"['to', 'assert,', 'maintain', '/', 'strengthen,', 'make', 'firm', '/', 'encourage']"
1091,firmus ,"['firm,', 'strong,', 'reliable,', 'solid']"
1092,flamma ,"['flame,', 'fire']"
1093,flatus ,"['blowing,', 'blast,', 'breathing,', 'arrogance,', 'haughtiness']"
1094,"flax, falcis ","['sickle,', 'bill-hook,', 'pruning', 'hook']"
1095,fleo ,"['to', 'weep,', 'cry,', 'shed', 'tears,', 'sob']"
1096,fluctus ,"['billow,', 'wave']"
1097,flumen ,['river']
1098,fluo ,"['to', 'flow,', 'pour,', 'stream']"
1099,fodio ,"['to', 'prick,', 'sting,', 'jab']"
1100,"fore, forem ","['future', 'infinitive', 'of', 'sum']"
1101,"forensis, e ",['legal']
1102,forma: ,"['form,', 'shape,', 'beauty']"
1103,formica ,['ant']
1104,formo ,"['to', 'shape,', 'form,', 'fashion']"
1105,fors fortis ,"['chance,', 'luck,', 'fortune']"
1106,forsit forsan forsitan ,"['perhaps,', 'probably']"
1107,fortasse ,['perhaps']
1108,forte ,"['by', 'chance,', 'by', 'luck,', 'accidentally']"
1109,fortis ,"['strong,', 'brave']"
1110,fortiter ,"['strongly,', 'bravely']"
1111,fortitudo ,"['physical', 'strength,', 'courage,', 'moral', 'bravery']"
1112,fortuna ,"['fortune,', 'luck,', 'fate,', 'chance']"
1113,fortunate ,['fortunately']
1114,fortunatus ,"['fortunate,', 'lucky,', 'happy']"
1115,forum ,"['market', 'place,', 'town', 'square']"
1116,foveo fovi fotum ,"['to', 'cherish']"
1117,frango (fracta) ,"['to', 'break', 'in', 'pieces,', 'shatter']"
1118,frater ,['brother']
1119,frendo ,"['to', 'gnash', ""one's"", 'teeth,', 'bruise,', 'crush,', 'grind']"
1120,frendo ,"['gnash', 'the', 'teeth,', 'crush,', 'bruise,', 'grind']"
1121,frequentatio ,"['frequency,', 'crowding']"
1122,frequentia ,"['a', 'large', 'concourse,', 'population,', 'numerous', 'assembly']"
1123,frequento ,"['to', 'crowd,', 'collect', 'in', 'large', 'number,', 'visit']"
1124,frigus ,"['cold,', 'coolness,', 'cold', 'of', 'winter', '/', 'dullness,', 'indolence']"
1125,frons ,"['forehead,', 'brow,', 'front']"
1126,fructuarius ,"['fruitful,', 'fertile']"
1127,fructus fructus ,"['fruit,', 'profit,', 'enjoyment,', 'produce']"
1128,frugalitas ,"['frugality,', 'economy,', 'pinching', 'pennies']"
1129,frumentum ,['grain']
1130,fruor ,"['to', 'have', 'the', 'benefit', 'of,', 'to', 'enjoy']"
1131,frustra esse ,"['to', 'be', 'deceived,', 'to', 'be', 'mistaken']"
1132,frustra ,"['in', 'vain,', 'mistakenly,', 'wantonly,', 'without', 'reason']"
1133,"frux, frugi ","['fruits', 'of', 'the', 'earth']"
1134,fuga ,"['flight,', 'escape,']"
1135,fugio ,"['to', 'flee,', 'escape,', 'run', 'away', '/', 'avoid,', 'shun']"
1136,fugitivus fugitive ,"['deserter,', 'runaway', 'slave']"
1137,fugo ,"['to', 'put', 'to', 'flight,', 'chase', 'away,', 'drive', 'into', 'exile,', 'pursue']"
1138,fulcio ,"['to', 'support,', 'strengthen,', 'uphold', '/', 'to', 'besiege,', 'oppress']"
1139,fulgeo (fulsi ): ,"['to', 'flash,', 'shine,', 'beam']"
1140,fultus ,['supporter']
1141,fundo ,"['to', 'pour,', 'pour', 'out', '(like', 'molten', 'metal),', 'melt,', 'cast']"
1142,fundo ,"['(milit)', 'to', 'rout,', 'scatter,', 'defeat,', 'put', 'to', 'flight']"
1143,"fungor, fungi, functus ","['to', 'occupy', 'oneself,', 'perform,', 'do,', 'execute']"
1144,funis -is ,"['rope,', 'cord,', 'line']"
1145,furibundus ,"['raging,', 'furious', '/', 'inspired']"
1146,furor ,"['madness,', 'rage,', 'frenzy']"
1147,furs ,['thief']
1148,furtificus ,['thievish']
1149,furtim ,"['by', 'stealth,', 'stealthily']"
1150,"furtum theft, robbery / furta ","['stolen', 'property', '/', 'trick,', 'deceit']"
1151,fusus (from fundo) ,"['spread', 'out,', 'extended,', 'wide,', 'copious']"
1152,Gandavum ,['Ghent']
1153,gaudium ,"['joy,', 'delight,', 'happiness']"
1154,Gemblacensis ,['Gembloux']
1155,gemo ,"['to', 'sigh,', 'groan,', 'wail']"
1156,gens ,"['clan,', 'race,', 'nation,', 'people,', 'tribe']"
1157,genus ,"['kind,', 'sort,', 'class,', 'category']"
1158,gero ,"['to', 'carry,', 'bear,', 'wear', '/', 'bear,', 'give', 'birth', 'to', '/', 'to', 'carry', 'about']"
1159,gesto ,"['to', 'carry,', 'bear', 'about']"
1160,gestum (gero) ,"['carrying', 'about,', 'conduct', '(oneself)']"
1161,gestum (gero) ,"['carriage,', 'bearing', '/', 'having', 'borne']"
1162,gigno (genuit) ,"['to', 'bring', 'forth,', 'bear,', 'beget,', 'father']"
1163,glacialis ,"['icy,', 'frozen,', 'full', 'of', 'ice']"
1164,gladius ,['sword']
1165,gloria ,"['fame,', 'renown,', 'glory']"
1166,glorior ,"['to', 'glory,', 'boast,', 'pride', 'oneself']"
1167,"grando, onis ",['hailstorm']
1168,grassor ,"['go', 'about,', 'go', 'ahead,', 'proceed,', 'attack']"
1169,gratia agere ,"['(+', 'dat)', 'to', 'thank']"
1170,gratia ,"['gratitude,', 'favor']"
1171,gratia ,"['in', 'order', 'to,', 'for', 'the', 'sake', 'of,', 'to']"
1172,gratia ,"['(in', 'the', 'abl)', 'on', 'account', 'of']"
1173,gratulor ,"['to', 'wish', 'a', 'person', 'joy,', 'congratulate', '(+dat),give', 'thanks']"
1174,gratus ,"['pleasing,', 'agreeable', '/', 'grateful']"
1175,gravatus ,"['sick,', 'oppressed,', 'ill']"
1176,gravis ,"['heavy,', 'weighty,', 'serious,', 'important', '/', 'severe,', 'grievous']"
1177,gravitas ,"['weight,', 'seriousness,', 'dignity,', 'importance']"
1178,graviter ,"['heavily,', 'seriously']"
1179,gravo ,"['to', 'oppress,', 'burden,', 'make', 'suffer']"
1180,gregatim ,"['in', 'troops,', 'or', 'crowds']"
1181,gregatim ,"['adv,', 'In', 'flocks,', 'herds,', 'troops,', 'crowds']"
1182,gusto ,"['to', 'taste']"
1183,habitus ,"['disposed,', 'in', 'a', 'certain', 'condition']"
1184,hac ,"['this', 'side,', 'this', 'way,', 'here']"
1185,hac ,"['(fem', 'sing', 'abl)', 'He', 'who', 'lives', 'BY', 'THIS', '(the', 'sword),']"
1186,hactenus ,"['hitherto,', 'up', 'to', 'this', 'point,', 'so', 'far']"
1187,hae  he ,"['(fem', 'pl', 'nom)', 'THESE', '(speeches)', 'were', 'very', 'fine']"
1188,haec hec ,"['(fem', 'sing', 'nom)', 'THIS', '(sword)', 'is', 'more', 'expensive']"
1189,haec hec ,"['(neut', 'pl', 'nom)', 'THESE', '(kisses)', 'are', 'sweeter', 'than', 'wine']"
1190,haec hec ,"['(neut', 'pl', 'acc)', 'Deborah', 'always', 'won', 'THESE', '(wars)']"
1191,hanc ,"['(fem', 'sing', 'acc)', 'She', 'wasted', 'THIS', '(her', 'youth)']"
1192,harum ,"['(fem', 'pl', 'gen)', 'The', 'city', 'wall', 'had', 'four', 'OF', 'THESE', '(gates)']"
1193,has ,"['(fem', 'pl', 'acc)', 'They', 'gave', 'THESE', '(their', 'lives)', 'for', 'the', 'Faith']"
1194,Hasnonium ,['Hasnon']
1195,haud ,"['no,', 'not', 'at', 'all,', 'by', 'no', 'means']"
1196,Helcim ,"['Helchin', 'on', 'the', 'left', 'bank', 'of', 'the', 'Scheldt']"
1197,Helnonensis ,"['Elnon', 'Herimann,', 'p', '279']"
1198,Heniis Harniis ,['Hames']
1199,hereditas ,"['inheritance,', 'often', 'simply', '""property""']"
1200,hesito (haesito) ,"['to', 'be', 'unsure,', 'uncertain,', 'wavering']"
1201,hi ,"['(masc', 'pl', 'nom)', 'THESE', '(men)', 'are', 'loyal', 'to', 'the', 'king']"
1202,hic ,"['(adv)', 'here']"
1203,hic haec (hec ) hoc ,"['this,', 'the', 'latter', '/', 'he,', 'she,', 'it']"
1204,hic ,"['(masc', 'nom', 'sing)', 'THIS', '(house)', 'is', 'filthy']"
1205,hilaris ,"['cheerful,', 'merry,', 'gay']"
1206,hinc ,"['from', 'this', 'place,', 'hence']"
1207,his ,"['(masc', 'pl', 'abl)', 'They', 'passed', 'BY', 'THESE', '(roads)']"
1208,his ,"['(masc', 'pl', 'dat)', 'Tell', 'it', 'TO', 'THESE', '(policemen)']"
1209,his ,"['(fem', 'pl', 'dat)', 'She', 'gave', 'her', 'property', 'TO', 'THESE', '(churches)']"
1210,his ,"['(fem', 'pl', 'abl)', 'A', 'life', 'is', 'enriched', 'BY', 'THESE', '(friendships)']"
1211,his ,"['(neut', 'pl', 'dat)', 'Listen', 'TO', 'THESE', '(orders)']"
1212,his ,"['(neut', 'pl', 'abl)', 'She', 'earned', 'it', 'BY', 'THESE', '(her', 'deeds)']"
1213,hoc ,"['(masc', 'sing', 'abl)', 'He', 'gave', 'plenty', 'FOR', 'THIS', '(field)']"
